"Temperature, (F)","Solution Gas Oil Ratio, (SCF/STB)","Gas Specific Gravity, (-)","API, (-)","Oil Specific Gravity, (-)","Oil Formation Volume Factor, (bbl/STB)","Bubble Point Pressure, (Psi)"
200,654.34,0.9164,29.35513893,0.879673481,1.371,3248
100,498,0.798,30.1,0.875618812,1.226,1981
239,1020,0.73,50.4,0.777899945,1.712,2540
100,665,0.766,30.8,0.871842267,1.284,2588
296,1340,1.6191,39.9,0.825554259,2.203,2015
188,2371,0.8253,38.5,0.832352941,2.365,4197
204,599,0.767,48.1,0.787861915,1.424,1805
252,768,1.8015,43.8,0.807187678,1.8015,1056
185,969,0.849,31.51843318,0.868,1.536,3728
100,825,0.779,34.2,0.853952927,1.368,2871
246,302,1.8202,38.8,0.830886671,1.353,515
180,604,0.699,36.55225653,0.842,1.331,2845
185,811,0.812,36.55225653,0.842,1.445,3057
296,1169,1.7167,39.9,0.825554259,2.092,1715
120,842,0.9886,31.93266343,0.8658,1.3881,3253
232,288,1.6839,39.9,0.825554259,1.32,515
150,692,0.876,41.9,0.816032295,1.375,1988
100,746,0.907,36.1,0.844272076,1.354,1962
100,433,1.188,31.14367816,0.87,1.215,804
237,299,1.3184,39.5,0.82748538,1.318,1015
